GAME_ID,GAME_DATE,HOME_TEAM_ID,HOME_TEAM_ABBR,HOME_TEAM_NAME,HOME_PTS,HOME_PA,HOME_MARGIN,AWAY_TEAM_ID,AWAY_TEAM_ABBR,AWAY_TEAM_NAME,AWAY_PTS,AWAY_PA,AWAY_MARGIN,HOME_WIN,MARGIN_HOME,TOTAL_POINTS
0022500002,2025-10-21,1610612747,LAL,Los Angeles Lakers,109,119,-10,1610612744,GSW,Golden State Warriors,119,109,10,0,-10,228
0022500001,2025-10-21,1610612760,OKC,Oklahoma City Thunder,125,124,1,1610612745,HOU,Houston Rockets,124,125,-1,1,1,249
0022500082,2025-10-22,1610612737,ATL,Atlanta Hawks,118,138,-20,1610612761,TOR,Toronto Raptors,138,118,20,0,-20,256
0022500084,2025-10-22,1610612741,CHI,Chicago Bulls,115,111,4,1610612765,DET,Detroit Pistons,111,115,-4,1,4,226
0022500086,2025-10-22,1610612749,MIL,Milwaukee Bucks,133,120,13,1610612764,WAS,Washington Wizards,120,133,-13,1,13,253
0022500003,2025-10-22,1610612752,NYK,New York Knicks,119,111,8,1610612739,CLE,Cleveland Cavaliers,111,119,-8,1,8,230
0022500081,2025-10-22,1610612753,ORL,Orlando Magic,125,121,4,1610612748,MIA,Miami Heat,121,125,-4,1,4,246
0022500088,2025-10-22,1610612756,PHX,Phoenix Suns,120,116,4,1610612758,SAC,Sacramento Kings,116,120,-4,1,4,236
0022500089,2025-10-22,1610612757,POR,Portland Trail Blazers,114,118,-4,1610612750,MIN,Minnesota Timberwolves,118,114,4,0,-4,232
0022500004,2025-10-22,1610612742,DAL,Dallas Mavericks,92,125,-33,1610612759,SAS,San Antonio Spurs,125,92,33,0,-33,217
0022500083,2025-10-22,1610612738,BOS,Boston Celtics,116,117,-1,1610612755,PHI,Philadelphia 76ers,117,116,1,0,-1,233
0022500087,2025-10-22,1610612762,UTA,Utah Jazz,129,108,21,1610612746,LAC,LA Clippers,108,129,-21,1,21,237
0022500085,2025-10-22,1610612763,MEM,Memphis Grizzlies,128,122,6,1610612740,NOP,New Orleans Pelicans,122,128,-6,1,6,250
0022500080,2025-10-22,1610612766,CHA,Charlotte Hornets,136,117,19,1610612751,BKN,Brooklyn Nets,117,136,-19,1,19,253
0022500006,2025-10-23,1610612744,GSW,Golden State Warriors,137,131,6,1610612743,DEN,Denver Nuggets,131,137,-6,1,6,268
0022500005,2025-10-23,1610612754,IND,Indiana Pacers,135,141,-6,1610612760,OKC,Oklahoma City Thunder,141,135,6,0,-6,276
0022500098,2025-10-24,1610612758,SAC,Sacramento Kings,105,104,1,1610612762,UTA,Utah Jazz,104,105,-1,1,1,209
0022500092,2025-10-24,1610612761,TOR,Toronto Raptors,116,122,-6,1610612749,MIL,Milwaukee Bucks,122,116,6,0,-6,238
0022500096,2025-10-24,1610612742,DAL,Dallas Mavericks,107,117,-10,1610612764,WAS,Washington Wizards,117,107,10,0,-10,224
0022500090,2025-10-24,1610612753,ORL,Orlando Magic,107,111,-4,1610612737,ATL,Atlanta Hawks,111,107,4,0,-4,218
0022500091,2025-10-24,1610612751,BKN,Brooklyn Nets,124,131,-7,1610612739,CLE,Cleveland Cavaliers,131,124,7,0,-7,255
0022500019,2025-10-24,1610612747,LAL,Los Angeles Lakers,128,110,18,1610612750,MIN,Minnesota Timberwolves,110,128,-18,1,18,238
0022500094,2025-10-24,1610612763,MEM,Memphis Grizzlies,114,146,-32,1610612748,MIA,Miami Heat,146,114,32,0,-32,260
0022500099,2025-10-24,1610612746,LAC,LA Clippers,129,102,27,1610612756,PHX,Phoenix Suns,102,129,-27,1,27,231
0022500093,2025-10-24,1610612745,HOU,Houston Rockets,111,115,-4,1610612765,DET,Detroit Pistons,115,111,4,0,-4,226
0022500097,2025-10-24,1610612757,POR,Portland Trail Blazers,139,119,20,1610612744,GSW,Golden State Warriors,119,139,-20,1,20,258
0022500018,2025-10-24,1610612752,NYK,New York Knicks,105,95,10,1610612738,BOS,Boston Celtics,95,105,-10,1,10,200
