SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,PTS,FGA,FTA,OREB,TOV
22025,1610612745,HOU,Houston Rockets,0022500001,2025-10-21,HOU @ OKC,L,124,97,31,16,25
22025,1610612744,GSW,Golden State Warriors,0022500002,2025-10-21,GSW @ LAL,W,119,78,29,9,19
22025,1610612747,LAL,Los Angeles Lakers,0022500002,2025-10-21,LAL vs. GSW,L,109,77,28,7,20
22025,1610612760,OKC,Oklahoma City Thunder,0022500001,2025-10-21,OKC vs. HOU,W,125,104,25,11,12
22025,1610612737,ATL,Atlanta Hawks,0022500082,2025-10-22,ATL vs. TOR,L,118,90,37,8,16
22025,1610612748,MIA,Miami Heat,0022500081,2025-10-22,MIA @ ORL,L,121,91,27,10,19
22025,1610612751,BKN,Brooklyn Nets,0022500080,2025-10-22,BKN @ CHA,L,117,88,34,12,17
22025,1610612752,NYK,New York Knicks,0022500003,2025-10-22,NYK vs. CLE,W,119,86,36,9,14
22025,1610612766,CHA,Charlotte Hornets,0022500080,2025-10-22,CHA vs. BKN,W,136,90,33,14,17
22025,1610612764,WAS,Washington Wizards,0022500086,2025-10-22,WAS @ MIL,L,120,98,19,13,13
22025,1610612761,TOR,Toronto Raptors,0022500082,2025-10-22,TOR @ ATL,W,138,95,29,12,19
22025,1610612741,CHI,Chicago Bulls,0022500084,2025-10-22,CHI vs. DET,W,115,87,32,12,18
22025,1610612749,MIL,Milwaukee Bucks,0022500086,2025-10-22,MIL vs. WAS,W,133,98,19,6,8
22025,1610612765,DET,Detroit Pistons,0022500084,2025-10-22,DET @ CHI,L,111,97,26,13,10
22025,1610612740,NOP,New Orleans Pelicans,0022500085,2025-10-22,NOP @ MEM,L,122,98,31,17,15
22025,1610612763,MEM,Memphis Grizzlies,0022500085,2025-10-22,MEM vs. NOP,W,128,80,43,6,17
22025,1610612739,CLE,Cleveland Cavaliers,0022500003,2025-10-22,CLE @ NYK,L,111,86,18,4,15
22025,1610612753,ORL,Orlando Magic,0022500081,2025-10-22,ORL vs. MIA,W,125,90,35,9,15
22025,1610612750,MIN,Minnesota Timberwolves,0022500089,2025-10-22,MIN @ POR,W,118,86,24,10,19
22025,1610612762,UTA,Utah Jazz,0022500087,2025-10-22,UTA vs. LAC,W,129,87,20,13,13
22025,1610612746,LAC,LA Clippers,0022500087,2025-10-22,LAC @ UTA,L,108,88,21,15,15
22025,1610612757,POR,Portland Trail Blazers,0022500089,2025-10-22,POR vs. MIN,L,114,90,35,7,16
22025,1610612758,SAC,Sacramento Kings,0022500088,2025-10-22,SAC @ PHX,L,116,94,23,9,13
22025,1610612742,DAL,Dallas Mavericks,0022500004,2025-10-22,DAL vs. SAS,L,92,83,26,9,16
22025,1610612756,PHX,Phoenix Suns,0022500088,2025-10-22,PHX vs. SAC,W,120,95,28,18,16
22025,1610612759,SAS,San Antonio Spurs,0022500004,2025-10-22,SAS @ DAL,W,125,87,28,11,15
22025,1610612738,BOS,Boston Celtics,0022500083,2025-10-22,BOS vs. PHI,L,116,91,26,10,11
22025,1610612755,PHI,Philadelphia 76ers,0022500083,2025-10-22,PHI @ BOS,W,117,85,30,10,14
22025,1610612754,IND,Indiana Pacers,0022500005,2025-10-23,IND vs. OKC,L,135,105,40,11,14
22025,1610612760,OKC,Oklahoma City Thunder,0022500005,2025-10-23,OKC @ IND,W,141,95,51,9,14
22025,1610612743,DEN,Denver Nuggets,0022500006,2025-10-23,DEN @ GSW,L,131,95,14,7,13
22025,1610612744,GSW,Golden State Warriors,0022500006,2025-10-23,GSW vs. DEN,W,137,99,25,10,9
22025,1610612738,BOS,Boston Celtics,0022500018,2025-10-24,BOS @ NYK,L,95,82,15,8,16
22025,1610612763,MEM,Memphis Grizzlies,0022500094,2025-10-24,MEM vs. MIA,L,114,95,28,12,20
22025,1610612765,DET,Detroit Pistons,0022500093,2025-10-24,DET @ HOU,W,115,90,23,15,18
22025,1610612742,DAL,Dallas Mavericks,0022500096,2025-10-24,DAL vs. WAS,L,107,88,27,9,21
22025,1610612739,CLE,Cleveland Cavaliers,0022500091,2025-10-24,CLE @ BKN,W,131,82,35,9,17
22025,1610612764,WAS,Washington Wizards,0022500096,2025-10-24,WAS @ DAL,W,117,90,29,10,17
22025,1610612750,MIN,Minnesota Timberwolves,0022500019,2025-10-24,MIN @ LAL,L,110,88,21,15,12
22025,1610612744,GSW,Golden State Warriors,0022500097,2025-10-24,GSW @ POR,L,119,80,39,12,25
22025,1610612757,POR,Portland Trail Blazers,0022500097,2025-10-24,POR vs. GSW,W,139,93,25,10,19
22025,1610612737,ATL,Atlanta Hawks,0022500090,2025-10-24,ATL @ ORL,W,111,85,28,9,16
22025,1610612753,ORL,Orlando Magic,0022500090,2025-10-24,ORL vs. ATL,L,107,78,37,12,22
22025,1610612751,BKN,Brooklyn Nets,0022500091,2025-10-24,BKN vs. CLE,L,124,96,7,10,20
22025,1610612747,LAL,Los Angeles Lakers,0022500019,2025-10-24,LAL vs. MIN,W,128,76,32,7,12
22025,1610612756,PHX,Phoenix Suns,0022500099,2025-10-24,PHX @ LAC,L,102,90,15,15,18
22025,1610612740,NOP,New Orleans Pelicans,0022500095,2025-10-24,NOP vs. SAS,L,116,97,29,16,15
22025,1610612746,LAC,LA Clippers,0022500099,2025-10-24,LAC vs. PHX,W,129,76,26,10,19
22025,1610612759,SAS,San Antonio Spurs,0022500095,2025-10-24,SAS @ NOP,W,120,98,26,20,19
